"Description","Price","ProductGroup_ID"
"HAVANA COKE",$7.00,106
"GIN TONIK",$5.00,106
"KNOFLOOKSAUS KLEIN",$1.50,116
"MALIBU COKE",$5.00,106
"JACK DANIELS COKE",$7.00,106
"RED BULL",$5.50,105
"KETCHUP KLEIN",$0.75,116
"EXTRA FRIET",$3.50,99
"EXTRA AARDAPEL",$3.50,99
"TONIC",$2.95,105
"KINDER ICE CREAM",$4.75,102
"VERSE MIXED JUICE",$6.50,105
"MYTHOS",$4.50,113
"ICE TEA MET GAS",$3.95,105
"LEFFE",$8.00,113
"WIJNSAUS",$3.00,116
"BITTERGARNITUUR 8",$8.50,108
"FRIET SATE",$4.95,108
"BELEGDE BRODJE KROKET KWEKBOM",$6.50,107
"BELEGE BRO FRIKAN SPECIAL",$5.90,107
"COLA  ZERO",$3.75,105
"CHAMPAGNE BOTTLE",$25.00,115
"CUARENTAY TRES",$5.00,106
"FANTA CASSIS GROOT",$6.00,105
"MELK",$3.00,105
"BITTERGARNITUR 16",$15.50,108
"KINDER MENU",$7.50,100
"VERSE JUS D/ORANGE GROOT",$6.90,105
"RUM CASSIS",$6.00,106
"VOODKA",$6.50,117
"BACARDI COLA",$8.50,117
"BERENBURG COLA",$8.90,117
"MALIBU  COLA",$8.50,117
"WODKA RED BULL",$8.50,117
"AMARETO COLA",$8.90,117
"PISANG AMBON JUSD'ORANGE",$8.50,117
"WHISKY COLA",$9.50,117
"RED WODKA RED BULL",$8.50,117
"APFELKORN ORANGE",$8.90,117
"PASOA ORANGE",$8.50,117
"SAFARI  ORANGE",$8.50,117
"RAKI",$4.50,117
"OUZO",$4.50,117
"ICE TEA MET GAS GROOT",$6.90,105
"BROODPLANKJE",$8.00,95
"CAMPARI SODA",$8.50,117
"MARTINI",$7.50,117
"GIN TONIC",$8.50,117
"METAXA 3",$7.00,117
"METAXA 5",$8.00,117
"METAXA 7",$8.50,117
"FRISTI GROOT",$6.90,105
"JACK DANIELS",$11.50,117
"CHIVAS REGAL",$15.00,117
"DIMPEL",$15.00,117
"DRAMBUIE",$9.00,117
"BOMBAY TANGUERAY",$9.90,117
"JOHNEY RED LABEL",$8.50,117
"JACK DANIELS + COKE",$12.50,117
"TEQUILA",$6.90,117
"BACARDI",$6.90,117
"BAILEYS",$7.50,117
"GIN",$6.90,117
"SODA GROOT",$5.95,105
"FRIET SPECIAL",$4.95,108
"SAMBALL KLEIN",$0.75,116
"BOTTLE RED WIJN",$20.00,115
"GRAND MARNIER",$7.50,117
"APFELKORN",$8.50,117
"JONGE JENEVER COKE",$8.90,117
"HENNESSY COLA",$8.90,117
"BACARDI RAZZ",$8.90,117
"43 CUARENTAY TRES",$7.50,117
"FRIET MAYO CURRY",$4.95,108
"FRIET MAYO SATE",$5.50,108
"STELLA  ARTOIS",$6.00,113
"BECK'S",$5.50,113
"HOT CHOCOLATE",$3.50,103
"SATE  KLEIN",$1.25,116
"BLOODY MARRY",$8.00,114
"CHAMPAGNE GLAS",$7.00,115
"1KROKET=1FRIKANDEL FRIET",$10.50,108
"JUPILER",$5.00,113
"BAVARIA",$5.50,113
"HERTOG JAN",$5.50,113
"APPELGEBAK\",$4.25,102
"JAGGEMASTER",$7.00,117
"FRENCH CAFE",$8.50,103
"SHOTS EXTRA",$1.95,117
"GYROS     SCHOTEL",$8.00,100
"ANANASAP GROOT",$5.95,105
"SHISHA ALCHOL",$20.00,104
"BROODJE HAGELSLAG",$4.50,107
"NON ALCOHOLIC COCKTAIL",$5.90,114
"LOBSTER",$35.00,101
"LOBSTER  1 KG",$65.00,101
"SHOT ROCKET",$2.50,117
"SHOTS SPECIAL",$3.50,117
"HALVE    KIP",$9.50,100
"MOSSELEN",$18.50,101
"FIX",$4.00,113
"MINI LOEMPIA 8",$9.00,108
"KOFFIE MET APPELGEB\AK",$4.75,102
"SHISHA SNOW  WHITE",$15.00,104
"2 FRIKADEL SPECIAL,FRIET",$11.90,108
"THEE  MUNT",$3.75,103
"SPAGHETTI   NAPOLI",$8.00,97
"FRESH  FISH",$18.00,101
"BRODJE GYROS",$5.00,107
"JUS D'ORANGE",$4.50,105
"COPABERGER",$5.95,113
"PALM",$5.50,113
"LAZANIA",$14.50,97
"TZATZIKI",$4.50,95
"EXTRA GROOT",$12.00,113
"SAUS",$0.75,116
"SAGANAKI CHEESE",$6.50,95
"SAMBALL OLEK",$1.50,116
"FRIET LOS",$4.50,108
"FRIKANDEL SPEC KETCHUP",$5.50,108
"GEBBAKKEN UI MET CHAMPIO",$3.00,116
"MOUSAKA",$7.50,100
"KRUIDENBOTTER",$1.00,116
"1 FRIKANDEL FRIET",$8.50,108
"FRIET CURRY",$4.95,108
"RISSOTO CHAMPIGNON",$12.00,95
"CHILDREN ICE CRAM",$4.75,102
"HAVANA COLA",$9.90,117
"CESAR SALADE",$11.90,96
"PIZZA KRETA",$10.00,98
"1 FRIKANDEL SPECIA  FRIET",$9.50,108
"BEER NO ALCCHOL",$4.90,113
"OLIVE",$4.00,95
"HAIG GOLD LABEL",$12.50,117
"EXTRA FRIET",$3.50,108
"SAFARI ORANGE",$8.50,117
"BOSWANDELING",$8.50,117
"LEIDSE HAMBURGER",$9.50,100
"CALAMARIS",$17.00,101
"SAN FRANCISCO",$7.00,114
"WARSTEINER",$6.50,113
"KIPPEN BOUT",$6.00,100
"LIEFMANS",$6.50,113
"SPARE RIBS",$18.90,119
"SATE A LA LEIDSE",$18.90,119
"NASI SCHOTEL",$16.90,119
"BORRITOS SCHOTEL",$18.00,119
"WIENERSCHNITSEL",$17.50,119
"SATE V\D VARKENHAAS",$22.00,119
"LEIDSE BURGER",$15.00,119
"KIP VLEUGELS MAIN",$12.90,119
"DUTCH STEAK",$29.50,119
"GYROS",$12.90,119
"MAYO",$1.00,99
